aryne_ID,aryne_energy
aryne_624,-768.5647
aryne_625,-561.4384
aryne_626,-561.4917
aryne_627,-1267.9709
aryne_628,-941.1257
aryne_629,-887.199
aryne_630,-635.4064
aryne_631,-811.9836
aryne_632,
aryne_633,-978.174
aryne_634,-925.2024
aryne_635,-925.2118
aryne_636,-698.2181
aryne_637,-598.3471
aryne_638,
aryne_639,-1016.3004
aryne_640,-523.2202
aryne_641,-693.2937
aryne_642,-580.1729
aryne_643,-677.3872
aryne_644,-564.2157
aryne_645,
aryne_646,
aryne_647,-861.0468
aryne_648,-887.0783
aryne_649,-828.0227
aryne_650,-539.2811
aryne_651,-489.1309
aryne_652,-489.125
aryne_653,-543.07
aryne_654,-357.6061
aryne_655,-903.1936
aryne_656,-522.0664
aryne_657,-941.2105
aryne_658,
aryne_659,-929.0317
aryne_660,-929.0396
aryne_661,-866.0395
aryne_662,-941.2367
aryne_663,-677.4399
aryne_664,-544.2852
aryne_665,-544.2904
aryne_666,-1205.1265
aryne_667,
aryne_668,-622.1031
aryne_669,-602.3205
aryne_670,-827.9558
aryne_671,-484.0005
aryne_672,-504.9515
aryne_673,-411.5769
aryne_674,-521.0616
aryne_675,-1020.2268
aryne_676,-1036.2452
aryne_677,-1154.7765
aryne_678,-603.8579
aryne_679,-1154.7115
aryne_680,-944.9889
aryne_681,-829.1238
aryne_682,
aryne_683,-850.0942
aryne_684,-634.2612
aryne_685,-598.3977
aryne_686,-586.2453
aryne_687,-586.1909
aryne_688,-426.0702
aryne_689,-527.173
aryne_690,-789.8231
aryne_691,-752.8672
aryne_692,-945.0061
aryne_693,-472.9971
aryne_694,-472.9907
aryne_695,-485.1848
aryne_696,-598.3707
aryne_697,
aryne_698,-1203.8494
aryne_699,-598.3926
aryne_700,-843.9909
aryne_701,-602.2666
aryne_702,-511.1263
aryne_703,-511.128
aryne_704,-511.1282
aryne_705,-1244.7293
aryne_706,-925.2125
aryne_707,-507.3306
aryne_708,
aryne_709,-850.0416
aryne_710,-538.0378
aryne_711,-941.2539
aryne_712,-602.3036
aryne_713,-618.2294
aryne_714,-501.2093
aryne_715,-828.0155
aryne_716,-586.3319
aryne_717,-586.3352
aryne_718,-586.3377
aryne_719,-582.4192
aryne_720,-1358.0121
aryne_721,-582.4254
aryne_722,-582.433
aryne_723,-469.2629
aryne_724,-469.1952
aryne_725,-523.3211
aryne_726,-507.2787
aryne_727,-1267.9739
aryne_728,-508.8407
aryne_729,-378.0718
aryne_730,-378.0723
aryne_731,
aryne_732,-413.9508
aryne_733,-413.9584
aryne_734,-788.2901
aryne_735,-1136.5157
aryne_736,-903.0239
aryne_737,-527.1045
aryne_738,-606.0745
aryne_739,-618.2758
aryne_740,-1129.9574
aryne_741,
aryne_742,-469.2288
aryne_743,-1016.3791
aryne_744,-582.4271
aryne_745,-485.1834
aryne_746,-945.0126
aryne_747,-922.9621
aryne_748,-939.9757
aryne_749,-602.2515
aryne_750,-693.3584
aryne_751,-945.0212
aryne_752,-811.9128
aryne_753,-560.2993
aryne_754,-945.0725
aryne_755,-511.0966
aryne_756,-511.0972
aryne_757,-511.093
aryne_758,-1585.9831
aryne_759,-1091.4534
aryne_760,
aryne_761,-527.1024
aryne_762,-527.1131
aryne_763,-580.1625
aryne_764,-602.2517
aryne_765,-543.0448
aryne_766,
aryne_767,-1243.2095
aryne_768,-598.4135
aryne_769,-811.9993
aryne_770,-811.9333
aryne_771,-508.8552
aryne_772,-598.4215
aryne_773,-564.1238
aryne_774,-602.2631
aryne_775,-829.0637
aryne_776,-1032.2572
aryne_777,
aryne_778,-957.1505
aryne_779,-597.2408
aryne_780,
aryne_781,-447.1402
aryne_782,-831.8139
aryne_783,-997.9866
aryne_784,-1154.774
aryne_785,-941.2372
aryne_786,
aryne_787,
aryne_788,-655.3434
aryne_789,-811.9419
