arene_ID,arene_smiles
arene_320,O=c1nnsn2c(=O)cccc12
arene_321,O=c1cc2occc(=O)n2c(=O)[nH]1
arene_322,c1con2[nH]cnn2[nH]1
arene_323,c1con2snnn2[nH]1
arene_324,O=c1ncc2c(=O)occc2o1
arene_325,c1cn2[nH]nn[nH]n2o1
arene_326,O=c1cc[nH]c2cnnc(=O)n12
arene_327,O=c1[nH]n2cc[nH]c(=O)n2c1=O
arene_328,O=c1ccc2sncc2[nH]1
arene_329,O=c1cc2ccnnn2c(=O)s1
arene_330,c1cn2scnon2nn1
arene_331,O=c1ccn2onnc(=O)n12
arene_332,O=c1oncn2c(=O)ccnc12
arene_333,c1cc2cnncn2n1
arene_334,c1cnc2n[nH]cc2c1
arene_335,O=c1scc2ccncn2c1=O
arene_336,O=c1ncn2ccncn12
arene_337,c1cn2cncc2s1
arene_338,c1cnc2nccn2c1
arene_339,O=c1nnc2scc[nH]c=2c1=O
arene_340,O=c1ncc2ccncc2s1
arene_341,O=c1sn2c(=O)sccn2c(=O)c1=O
arene_342,O=c1ccn2[nH]cnsn2o1
arene_343,O=c1sc2ccnnc2s1
arene_344,c1cc2nncn2cn1
arene_345,O=c1ccsc2cccn12
arene_346,O=c1ccn2nc[nH]c(=O)n2c1=O
arene_347,O=c1nnoc2ccccc12
arene_348,O=c1ccn2[nH]ccc(=O)c2c1
arene_349,O=c1nccc2nnoc(=O)n12
arene_350,c1cnc2occc2c1
arene_351,O=c1ccn2c(=O)[nH]c(=O)c(=O)n2[nH]1
arene_352,O=c1cc2ccncn2cn1
arene_353,O=c1ccn2cn[nH]cc1-2
arene_354,O=c1scc2occc(=O)n2c1=O
arene_355,O=c1ccn2sc(=O)c(=O)sn2c1=O
arene_356,O=c1nnc2scc[nH]c1=2
arene_357,c1coc2c[nH]ncn-2[nH]1
arene_358,O=c1ccn2c(=O)c(=O)[nH]cc2[nH]1
arene_359,O=c1[nH]cc[nH]c1=O
arene_360,O=c1cc[nH]n2ccc(=O)n12
arene_361,O=c1ccc2c[nH]nc2s1
arene_362,O=c1ccoc2cnnc(=O)n12
arene_363,O=c1ccc2c(=O)c(=O)c(=O)c(=O)c2o1
arene_364,O=c1ccn2cccc2[nH]1
arene_365,c1cnc2[nH]ncc2n1
arene_366,c1cnc2cscc2c1
arene_367,O=c1sccn2snnon12
arene_368,O=c1oc2ncccc2s1
arene_369,O=c1ccon2c(=O)nccc12
arene_370,c1cc2nn[nH]n2n1
arene_371,O=c1ccc2c(=O)c(=O)[nH]c1=2
arene_372,O=c1[nH]ccc2nnoc(=O)c12
arene_373,O=c1oc2ccsc2c(=O)s1
arene_374,O=c1on2sccn2c(=O)c1=O
arene_375,O=c1ccsc2cncnc12
arene_376,O=c1cc2occc2cs1
arene_377,O=c1ccsc2nn[nH]c12
arene_378,O=c1ccsn2snn[nH]n12
arene_379,O=c1ncnc2occn12
arene_380,O=c1oc(=O)n2nccc2o1
arene_381,c1cnn2[nH]cc[nH]n2c1
arene_382,O=c1c(=O)c(=O)n2c(=O)ccnc2c1=O
arene_383,c1csn2nnocc-2o1
arene_384,O=c1ccn2[nH]cc[nH]n2[nH]1
arene_385,O=c1ccoc2n[nH]nc12
arene_386,O=c1[nH]c2ccoc(=O)c2[nH]c1=O
arene_387,O=c1ccc2nnnc(=O)n2o1
arene_388,O=c1ccn2c(=O)ccn2[nH]1
arene_389,O=c1nc[nH]c2c(=O)sccc12
arene_390,O=c1ocnc2ncccc12
arene_391,c1cc2scnc2o1
arene_392,O=c1[nH]c(=O)c2[nH]ccc2[nH]1
arene_393,c1cnc2ccnn2c1
arene_394,O=c1oc2csccn-2c(=O)c1=O
arene_395,O=c1nncc2ccnnn12
arene_396,O=c1cnc2ccc(=O)sc2[nH]1
arene_397,c1cc2ccoc2o1
arene_398,O=c1ccc(=O)n2c(=O)[nH]nnn12
arene_399,O=c1sc(=O)n2c(=O)c(=O)ccn2s1
arene_400,O=c1cnsn2nccc12
arene_401,c1c[nH]n2nnonc-2[nH]1
arene_402,c1con2cnncn2[nH]1
arene_403,O=c1ccn2c(=O)sc(=O)oc2c1
arene_404,O=c1cccc2nnsn12
arene_405,O=c1ccc2cnnc(=O)n2[nH]1
arene_406,O=c1ccc2c(=O)cc[nH]c2[nH]1
arene_407,O=c1ncc2ccsc(=O)c2[nH]1
arene_408,O=c1oc(=O)n2c(=O)sccn12
arene_409,O=c1snc2nccnn2c1=O
arene_410,O=c1ncn2ncccc2n1
arene_411,O=c1ccn2c(=O)c(=O)c(=O)c(=O)n2c1=O
arene_412,O=c1cnsc2ccnc(=O)n12
arene_413,O=c1ccsn2scn[nH]n12
arene_414,O=c1oc(=O)c2sccc2s1
arene_415,O=c1cc2cc[nH]c(=O)n2cn1
arene_416,O=c1[nH]n2scc[nH]n2c(=O)o1
arene_417,O=c1ccc2cn[nH]c2s1
arene_418,O=c1ccn2[nH]c(=O)c(=O)[nH]n2c1=O
arene_419,O=c1nc2c(=O)ccoc2ns1
arene_420,O=c1cc[nH]n2[nH]ccsn12
arene_421,O=c1cc[nH]c2cn[nH]c12
arene_422,O=c1onc2ccon12
arene_423,O=c1c(=O)n2[nH]ccon2c1=O
arene_424,O=c1cnc(=O)c2occoc1=2
arene_425,c1ccc2n[nH]nc2c1
arene_426,O=c1ocnc2cnccc12
arene_427,O=c1ccoc2nnoc12
arene_428,c1coc2[nH]cn[nH]c=2[nH]1
arene_429,O=c1ccn2[nH]nnc2c1
arene_430,O=c1ccn2c(=O)scc2s1
arene_431,O=c1ccsn2[nH]ccon12
arene_432,O=c1ccn2ocn[nH]n2s1
arene_433,O=c1cc[nH]c2csnc12
arene_434,O=c1ncc2ccccc2o1
arene_435,O=c1nnn2ccoc(=O)c2n1
arene_436,O=c1cc2c(=O)ccoc2co1
arene_437,O=c1ccoc2sncc12
arene_438,O=c1ncn2occsn2[nH]1
arene_439,O=c1nc2cnccn2c(=O)o1
arene_440,O=c1ccn2ncnnc2c1
arene_441,O=c1[nH]c(=O)n2c(=O)occn2c1=O
arene_442,O=c1ccc(=O)c1=O
arene_443,O=c1cnnc2nnccn12
arene_444,O=c1cc[nH]c2csc(=O)n12
arene_445,c1cn2occoc-2n[nH]1
arene_446,O=c1[nH]c2[nH]ccc2o1
arene_447,O=c1cc2ccccn2c(=O)s1
arene_448,O=c1occc2ocnc12
arene_449,O=c1sc(=O)c(=O)c2occsc1=2
arene_450,c1cn2snc[nH]n2cn1
arene_451,O=c1nc2cccnc2co1
arene_452,O=c1[nH]nc2ccon12
arene_453,O=c1cnn2ncccc2c1
arene_454,O=c1ccnc2[nH]nnn12
arene_455,O=c1nccc2cnon12
arene_456,O=c1nnc2sc(=O)ccc2o1
arene_457,O=c1scc2nccnn2c1=O
arene_458,O=c1ccc2nn[nH]c2o1
arene_459,O=c1[nH]ncc2nccn12
arene_460,O=c1cnc2occc(=O)c2o1
arene_461,O=c1nnn2c(=O)c(=O)ccn2[nH]1
arene_462,c1csn2[nH]nnn2o1
arene_463,O=c1[nH]c(=O)c2ncccc2o1
arene_464,O=c1ccon2scc[nH]n12
arene_465,O=c1ncc2ccoc(=O)c2s1
arene_466,O=c1cnoc2occc12
arene_467,O=c1ccsn2c(=O)cnn12
arene_468,O=c1ccc2c(=O)nnsc2o1
arene_469,O=c1occc2ccoc(=O)c12
arene_470,O=c1[nH]c2ccnn2oc1=O
arene_471,O=c1cc2ccc(=O)sc2cs1
arene_472,O=c1cnoc2cnccc12
arene_473,O=c1ccn2ccoc(=O)c2c1
arene_474,O=c1ccn2c(=O)sc(=O)nc2[nH]1
arene_475,c1ccc2cocc2c1
arene_476,O=c1onc2c(=O)ccsn2c1=O
arene_477,O=c1ccc2cnnn2s1
arene_478,O=c1snc2occn12
arene_479,O=c1[nH]c(=O)n2occon2[nH]1
arene_480,O=c1cnc2nccnc2s1
arene_481,O=c1nc2[nH]ccsc-2nc1=O
arene_482,c1nn2occsc-2co1
arene_483,c1ccn2occon2c1
arene_484,c1csc2onn[nH]c=2[nH]1
arene_485,O=c1nnn2sccon2o1
arene_486,O=c1[nH]ncn2nccc12
arene_487,O=c1ccn2sc(=O)c(=O)c(=O)n2[nH]1
arene_488,O=c1[nH]n2cccc2o1
arene_489,O=c1cc2cc[nH]c(=O)c2c[nH]1
arene_490,c1cc2nnnn2[nH]1
arene_491,O=c1ncoc2c(=O)cc[nH]c12
arene_492,O=c1ccn2c(=O)c(=O)scc2o1
arene_493,O=c1[nH]n2[nH]ccn2c(=O)c1=O
arene_494,O=c1cc2c(=O)ccc(=O)c-2n1
arene_495,O=c1ccc2nc(=O)scc2s1
arene_496,O=c1occ2nnccn12
arene_497,O=c1occn2[nH]ncon12
arene_498,O=c1ccn2[nH]c(=O)nnc2c1
arene_499,O=c1occc2cncn12
arene_500,O=c1[nH]c2ccsc2[nH]1
arene_501,O=c1ccn2scnc2n1
arene_502,O=c1cc2[nH]ccc(=O)n2c(=O)[nH]1
arene_503,O=c1ncc2occ[nH]c1=2
arene_504,c1cn2oncsc-2n[nH]1
arene_505,O=c1ccc2ccnn2[nH]1
arene_506,c1cc2onnc2nn1
arene_507,O=c1oncc2occc12
arene_508,c1cc2n[nH]cc2nn1
arene_509,O=c1ccc2cnsc(=O)c2o1
arene_510,O=c1occ2occn2c1=O
arene_511,O=c1cccc2ccsn12
arene_512,O=c1nc2c(=O)sccc2cs1
arene_513,O=c1cnon2cccc12
arene_514,c1coc2scc[nH]c=2[nH]1
arene_515,O=c1[nH]n2c(=O)ccc(=O)n2sc1=O
arene_516,O=c1[nH]ncn2[nH]ccon12
arene_517,O=c1occc2[nH]ncc12
arene_518,O=c1cnc2ccc(=O)c=2c1=O
arene_519,c1cn2[nH]ccoc-2n[nH]1
arene_520,O=c1ccc(=O)n2ncocc1-2
arene_521,O=c1cc2cc[nH]c2co1
arene_522,O=c1[nH]c2scc[nH]c=2c(=O)c1=O
arene_523,O=c1onc2ccncn12
arene_524,O=c1ccc2nccn2[nH]1
arene_525,c1ccc(-c2ccccc2)cc1
arene_526,O=c1ccc2nnoc2s1
arene_527,O=c1sc2ccsc(=O)c2s1
arene_528,O=c1cnsn2c(=O)cccc12
arene_529,O=c1[nH]c2cc[nH]c2sc1=O
arene_530,O=c1ccn2[nH]nnsn2s1
arene_531,O=c1on2cc[nH]n2c(=O)c1=O
arene_532,O=c1ccc(=O)n2cc[nH]nc1-2
arene_533,c1con2cn[nH]nc-2[nH]1
arene_534,O=c1cc2sc(=O)ccc2cs1
arene_535,O=c1sc2nccnc2s1
arene_536,O=c1cc[nH]c2ncsc12
arene_537,O=c1ccn2scn[nH]n2[nH]1
arene_538,O=c1[nH]c2ccccc2o1
arene_539,O=c1[nH]c2[nH]ccc2oc1=O
arene_540,c1cc2sncn2c1
arene_541,c1cnn2snn[nH]n2n1
arene_542,c1cn2oncsc-2c[nH]1
arene_543,O=c1sccn2c(=O)[nH]cc12
arene_544,c1con2nconc-2[nH]1
arene_545,O=c1snc2ccnnn2c1=O
arene_546,O=c1sc(=O)n2c(=O)occn2c1=O
arene_547,O=c1oc2c(=O)sccc2s1
arene_548,c1cnc2c(c1)ccc1cccnc12
arene_549,c1cc2c[nH]cc2cn1
arene_550,O=c1sccc2snnc12
arene_551,c1csc2n[nH]nnn-2o1
arene_552,O=c1ccsn2snnon12
arene_553,O=c1ccsn2c(=O)[nH]nc12
arene_554,O=c1oncc2ccnn12
arene_555,O=c1ccsc2nnccc12
arene_556,c1ccn2snc[nH]n2c1
arene_557,O=c1ccon2ccc(=O)n12
arene_558,O=c1nc[nH]c2ccccc12
