arene_id,arene_smiles,arene_energy,aryne_id,aryne_smiles,aryne_energy,dehydrogenation_energy
arene_35,O=c1ccc2c(=O)sc(=O)oc2o1,-1041.3981,aryne_39,O=c1c#cc2c(=O)sc(=O)oc2o1,-1040.0609,108.8566
arene_37,c1csc2snc[nH]c=2[nH]1,-1153.4179,aryne_41,c1[nH]c2[nH]cnsc=2sc#1,-1152.0945,100.197
arene_38,O=c1cnc2nccn2o1,-506.3813,aryne_42,O=c1cnc2nc#cn2o1,-504.9847,146.1306
arene_39,O=c1ncn2ncccn12,-486.5392,aryne_43,O=c1ncn2ncc#cn12,-485.1877,117.83
arene_41,O=c1ccn2c(=O)onnn2c1=O,-710.6807,aryne_45,O=c1c#cn2c(=O)onnn2c1=O,-709.3434,108.9193
arene_42,O=c1ccc2occc2o1,-494.2334,aryne_46,O=c1c#cc2occc2o1,-492.9035,104.2758
arene_42,O=c1ccc2occc2o1,-494.2334,aryne_47,O=c1ccc2oc#cc2o1,-492.8235,154.4765
arene_43,O=c1nnn2ccsn2c1=O,-920.3927,aryne_48,O=c1nnn2c#csn2c1=O,-919.0209,130.5684
arene_44,O=c1[nH]cc2ccccn2c1=O,-567.7664,aryne_49,O=c1[nH]cc2c#cccn2c1=O,-566.437,103.962
arene_44,O=c1[nH]cc2ccccn2c1=O,-567.7664,aryne_50,O=c1[nH]cc2ccc#cn2c1=O,-566.4183,115.6964
arene_45,c1cc2nscc2nn1,-754.1614,aryne_51,c1nnc2csnc2c#1,-752.8239,109.0448
arene_46,O=c1nc2ccon2c(=O)o1,-601.4041,aryne_52,O=c1nc2c#con2c(=O)o1,-599.9906,156.7355
arene_47,O=c1ocnc2nccnc12,-544.5195,aryne_53,O=c1ocnc2nc#cnc12,-543.1487,129.9409
arene_48,O=c1sc2cccn2s1,-1118.0192,aryne_54,O=c1sc2cc#cn2s1,-1116.6218,146.6326
arene_49,O=c1nc2cnccc2no1,-544.4284,aryne_55,O=c1nc2cnc#cc2no1,-543.0908,109.1076
arene_50,O=c1oc(=O)n2ccccn12,-565.5527,aryne_56,O=c1oc(=O)n2ccc#cn12,-564.203,116.7004
arene_52,O=c1sc(=O)n2ccc(=O)n2s1,-1322.3751,aryne_58,O=c1sc(=O)n2c#cc(=O)n2s1,-1320.9861,141.3615
arene_53,O=c1snc2c(=O)sccn2c1=O,-1360.4421,aryne_59,O=c1snc2c(=O)sc#cn2c1=O,-1359.1118,104.5268
arene_54,O=c1onnc2c(=O)sccc12,-962.3312,aryne_60,O=c1onnc2c(=O)sc#cc12,-961.006,101.3265
arene_55,O=c1ccon2c(=O)ccn12,-565.4693,aryne_61,O=c1c#con2c(=O)ccn12,-564.1175,118.0182
arene_55,O=c1ccon2c(=O)ccn12,-565.4693,aryne_62,O=c1ccon2c(=O)c#cn12,-564.0816,140.5458
arene_56,O=c1[nH]ccc2cnoc(=O)c12,-603.5991,aryne_63,O=c1[nH]c#cc2cnoc(=O)c12,-602.2509,115.7592
arene_57,O=c1ccc2csc(=O)nc2s1,-1269.2927,aryne_64,O=c1c#cc2csc(=O)nc2s1,-1267.9819,92.2903
arene_58,c1csn2cnscc-2[nH]1,-1153.4072,aryne_65,c1[nH]c2csncn-2sc#1,-1152.0809,102.0167
arene_60,O=c1occ2ccsc(=O)n2c1=O,-1021.521,aryne_67,O=c1occ2c#csc(=O)n2c1=O,-1020.2017,97.6242
arene_61,O=c1cc2occc2n[nH]1,-490.3981,aryne_68,O=c1cc2oc#cc2n[nH]1,-488.9957,149.7702
arene_62,O=c1occ2c(=O)ccon2c1=O,-698.5364,aryne_69,O=c1occ2c(=O)c#con2c1=O,-697.1933,112.5589
arene_63,O=c1scc2cnccn2c1=O,-926.5192,aryne_70,O=c1scc2cnc#cn2c1=O,-925.1611,121.9715
arene_65,O=c1ocnc2cccn12,-490.4431,aryne_72,O=c1ocnc2cc#cn12,-489.0471,145.7541
arene_66,O=c1[nH]c2cccc(=O)n2sc1=O,-1001.6867,aryne_73,O=c1[nH]c2cc#cc(=O)n2sc1=O,-1000.357,104.1503
arene_67,c1csn2[nH]ccn2[nH]1,-772.498,aryne_75,c1[nH]n2scc[nH]n2c#1,-771.1695,103.3972
arene_68,O=c1cc2nnccc2co1,-528.4228,aryne_76,O=c1cc2nnc#cc2co1,-527.0813,111.5549
arene_69,O=c1ccn2sc(=O)c(=O)oc2c1,-1021.4909,aryne_77,O=c1c#cn2sc(=O)c(=O)oc2c1,-1020.1564,107.1623
arene_70,c1cn2onn[nH]c-2n[nH]1,-519.6427,aryne_78,c1[nH]nc2[nH]nnon-2c#1,-518.3024,110.8019
arene_71,O=c1ccn2c(=O)ccsc2n1,-926.546,aryne_79,O=c1c#cn2c(=O)ccsc2n1,-925.2082,109.2331
arene_71,O=c1ccn2c(=O)ccsc2n1,-926.546,aryne_80,O=c1ccn2c(=O)c#csc2n1,-925.2275,97.1222
arene_72,O=c1[nH]ccc2nncnc12,-524.6457,aryne_81,O=c1[nH]c#cc2nncnc12,-523.2999,114.2532
arene_73,c1cnn2ccnc2n1,-411.4299,aryne_82,c1nc2nccnn2c#1,-410.0312,147.4484
arene_74,O=c1ccc2nn[nH]c2[nH]1,-486.5864,aryne_83,O=c1c#cc2nn[nH]c2[nH]1,-485.2573,103.7738
arene_75,O=c1[nH]c2nnccc2s1,-829.3678,aryne_84,O=c1[nH]c2nnc#cc2s1,-828.0282,110.3626
arene_76,O=c1nnn2[nH]ccc(=O)c2n1,-615.7211,aryne_85,O=c1nnn2[nH]c#cc(=O)c2n1,-614.3863,107.3506
arene_77,O=c1sccc2cncn12,-813.3494,aryne_86,O=c1sc#cc2cncn12,-812.0256,100.448
arene_78,O=c1ccc2[nH]cc[nH]c1=2,-454.4835,aryne_87,O=c1c#cc2[nH]cc[nH]c1=2,-453.1389,113.5001
arene_78,O=c1ccc2[nH]cc[nH]c1=2,-454.4835,aryne_88,O=c1ccc2[nH]c#c[nH]c1=2,-453.1479,107.8526
arene_79,O=c1ncn2[nH]ccc(=O)c2n1,-599.755,aryne_89,O=c1ncn2[nH]c#cc(=O)c2n1,-598.4242,104.8405
arene_80,O=c1ccsc2cscc12,-1140.0669,aryne_90,O=c1c#csc2cscc12,-1138.7572,91.6001
arene_81,O=c1ccsn2c(=O)ccn12,-888.4325,aryne_92,O=c1ccsn2c(=O)c#cn12,-887.0439,141.1105
arene_82,c1cnc2onnc2n1,-447.2618,aryne_93,c1nc2nnoc2nc#1,-445.8894,130.9449
arene_83,O=c1nnc2ccc(=O)oc2[nH]1,-619.6334,aryne_94,O=c1nnc2c#cc(=O)oc2[nH]1,-618.3,106.472
arene_84,O=c1[nH]ccn2sccsn12,-1228.5433,aryne_95,O=c1[nH]c#cn2sccsn12,-1227.1902,118.834
arene_84,O=c1[nH]ccn2sccsn12,-1228.5433,aryne_96,O=c1[nH]ccn2sc#csn12,-1227.2426,85.9525
arene_85,O=c1[nH]c(=O)c2nccn2s1,-904.523,aryne_97,O=c1[nH]c(=O)c2nc#cn2s1,-903.1207,149.7074
arene_86,O=c1ccc2c(=O)c(=O)ncc1=2,-586.3294,aryne_98,O=c1c#cc2c(=O)c(=O)ncc1=2,-584.9595,129.3761
arene_87,O=c1ccn2nnnc2s1,-845.3275,aryne_99,O=c1c#cn2nnnc2s1,-843.9944,106.2838
arene_88,O=c1onnc2sccc12,-849.1376,aryne_100,O=c1onnc2sc#cc12,-847.7688,128.6859
arene_89,O=c1ccc2[nH]ccc(=O)c2s1,-910.522,aryne_101,O=c1c#cc2[nH]ccc(=O)c2s1,-909.2122,91.6628
arene_89,O=c1ccc2[nH]ccc(=O)c2s1,-910.522,aryne_102,O=c1ccc2[nH]c#cc(=O)c2s1,-909.1873,107.2878
arene_90,O=c1ccn2oc(=O)c(=O)sc2c1,-1021.4502,aryne_103,O=c1c#cn2oc(=O)c(=O)sc2c1,-1020.1163,106.7858
arene_91,O=c1cc2ccc(=O)sn2nn1,-942.469,aryne_104,O=c1cc2c#cc(=O)sn2nn1,-941.1532,95.4279
arene_92,c1cn2occon2nn1,-523.3985,aryne_105,c1nnn2occon2c#1,-522.0495,116.2612
arene_93,O=c1cnnc2ncccn12,-524.6271,aryne_107,O=c1cnnc2ncc#cn12,-523.2735,119.1477
arene_94,O=c1nnc2sccc2s1,-1172.0679,aryne_108,O=c1nnc2sc#cc2s1,-1170.7035,125.9248
arene_95,O=c1ccn2ncon2c1=O,-581.441,aryne_109,O=c1c#cn2ncon2c1=O,-580.1045,108.4173
arene_97,O=c1ccn2c(=O)cccc2[nH]1,-567.792,aryne_112,O=c1c#cn2c(=O)cccc2[nH]1,-566.4458,114.5042
arene_97,O=c1ccn2c(=O)cccc2[nH]1,-567.792,aryne_113,O=c1ccn2c(=O)c#ccc2[nH]1,-566.4645,102.7697
arene_98,O=c1ccc2nnccc2o1,-528.4598,aryne_114,O=c1c#cc2nnccc2o1,-527.1298,104.3385
arene_98,O=c1ccc2nnccc2o1,-528.4598,aryne_115,O=c1ccc2nnc#cc2o1,-527.123,108.6056
arene_99,O=c1[nH]c2cccnc2c(=O)o1,-603.6805,aryne_116,O=c1[nH]c2c#ccnc2c(=O)o1,-602.3489,105.3425
arene_99,O=c1[nH]c2cccnc2c(=O)o1,-603.6805,aryne_117,O=c1[nH]c2cc#cnc2c(=O)o1,-602.341,110.2998
arene_100,O=c1ncc2ccc(=O)oc2[nH]1,-603.6612,aryne_118,O=c1ncc2c#cc(=O)oc2[nH]1,-602.3298,105.217
arene_101,O=c1[nH]cnc2c(=O)[nH]ccc12,-583.8336,aryne_119,O=c1[nH]cnc2c(=O)[nH]c#cc12,-582.4837,116.8259
arene_102,c1cn2onnc2n1,-409.13,aryne_120,c1nc2nnon2c#1,-407.7301,148.2014
arene_103,O=c1cc2ccoc2c[nH]1,-474.3971,aryne_121,O=c1cc2c#coc2c[nH]1,-472.993,150.8369
arene_104,O=c1ccc2n[nH]cnn1-2,-486.5353,aryne_122,O=c1c#cc2n[nH]cnn1-2,-485.1707,126.0503
arene_105,O=c1snnn2sccsn12,-1603.2719,aryne_123,O=c1snnn2sc#csn12,-1601.9679,88.0233
arene_106,c1cn2[nH]nn[nH]n2[nH]1,-461.7033,aryne_124,c1[nH]n2[nH]nn[nH]n2c#1,-460.3094,144.4363
arene_107,O=c1ccon2cnnc12,-506.3458,aryne_125,O=c1c#con2cnnc12,-504.9986,115.1317
arene_108,O=c1c(=O)c2cccn2c1=O,-548.3205,aryne_126,O=c1c(=O)c2cc#cn2c1=O,-546.918,149.8329
arene_109,O=c1cnn2occsn2s1,-1264.2801,aryne_127,O=c1cnn2oc#csn2s1,-1262.9506,104.0248
arene_110,c1cc2nn[nH]c2[nH]1,-373.3415,aryne_128,c1[nH]c2[nH]nnc2c#1,-371.9467,145.0011
arene_111,O=c1ccn2c(=O)sc(=O)n2s1,-1322.3801,aryne_129,O=c1c#cn2c(=O)sc(=O)n2s1,-1321.0505,104.0875
arene_112,O=c1oc(=O)c2nccn2s1,-924.3494,aryne_130,O=c1oc(=O)c2nc#cn2s1,-922.946,150.3977
arene_113,O=c1sn2c(=O)ccsn2c1=O,-1322.3385,aryne_131,O=c1sn2c(=O)c#csn2c1=O,-1321.0203,96.9339
arene_115,O=c1cc2sc(=O)ccn2cn1,-926.5326,aryne_133,O=c1cc2sc(=O)c#cn2cn1,-925.2079,101.0127
arene_116,O=c1cc[nH]c2cnoc12,-490.3749,aryne_134,O=c1c#c[nH]c2cnoc12,-489.0409,106.8485
arene_117,O=c1ccn2ccc(=O)oc2c1,-587.6001,aryne_135,O=c1c#cn2ccc(=O)oc2c1,-586.2658,107.0368
arene_117,O=c1ccn2ccc(=O)oc2c1,-587.6001,aryne_136,O=c1ccn2c#cc(=O)oc2c1,-586.254,114.4414
arene_118,O=c1[nH]ccc2nnoc(=O)c12,-619.5983,aryne_137,O=c1[nH]c#cc2nnoc(=O)c12,-618.2478,117.2024
arene_119,c1noc2nsccn-2o1,-866.2633,aryne_138,c1snc2oncon-2c#1,-864.9439,97.6869
arene_120,c1n[nH]c2sccsc=2[nH]1,-1153.3989,aryne_139,c1sc2[nH]cn[nH]c=2sc#1,-1152.085,94.2356
arene_122,O=c1occ2ccnnn12,-506.378,aryne_141,O=c1occ2c#cnnn12,-505.036,111.8686
arene_123,O=c1ccnc2ccsc(=O)n12,-926.545,aryne_142,O=c1c#cnc2ccsc(=O)n12,-925.2162,103.5855
arene_123,O=c1ccnc2ccsc(=O)n12,-926.545,aryne_143,O=c1ccnc2c#csc(=O)n12,-925.224,98.6909
arene_124,O=c1ccc2c(=O)nc[nH]c2s1,-926.5566,aryne_144,O=c1c#cc2c(=O)nc[nH]c2s1,-925.2409,95.3651
arene_125,O=c1ncc2ccccc2[nH]1,-492.6497,aryne_145,O=c1ncc2c#cccc2[nH]1,-491.3142,107.7898
arene_125,O=c1ncc2ccccc2[nH]1,-492.6497,aryne_146,O=c1ncc2cc#ccc2[nH]1,-491.3147,107.4761
arene_125,O=c1ncc2ccccc2[nH]1,-492.6497,aryne_147,O=c1ncc2ccc#cc2[nH]1,-491.3193,104.5895
arene_128,O=c1ccc2sncc(=O)c2s1,-1269.2726,aryne_150,O=c1c#cc2sncc(=O)c2s1,-1267.9604,93.1689
arene_129,O=c1nnc2cccc(=O)n2o1,-619.5404,aryne_151,O=c1nnc2cc#cc(=O)n2o1,-618.2127,102.8952
arene_130,c1csn2cnocc-2s1,-1173.1939,aryne_152,c1sc2concn-2sc#1,-1171.8849,91.1608
arene_131,O=c1[nH]c(=O)n2sccon2s1,-1339.5185,aryne_153,O=c1[nH]c(=O)n2sc#con2s1,-1338.1869,105.3425
arene_132,c1cc2cnsc2cn1,-738.193,aryne_154,c1ncc2sncc2c#1,-736.8593,106.6603
arene_133,O=c1[nH]c2c(=O)cc[nH]c2sc1=O,-1001.7084,aryne_155,O=c1[nH]c2c(=O)c#c[nH]c2sc1=O,-1000.37,109.6096
arene_134,O=c1ccn2c(=O)c(=O)cc1-2,-548.3062,aryne_156,O=c1c#cn2c(=O)c(=O)cc1-2,-546.9247,136.6552
arene_136,O=c1ccn2c(=O)c(=O)c(=O)cc-2c1=O,-774.7017,aryne_158,O=c1c#cn2c(=O)c(=O)c(=O)cc-2c1=O,-773.371,104.7778
arene_137,c1cnc2nnncc2c1,-449.4535,aryne_159,c1cc2cnnnc2nc#1,-448.1191,107.0996
arene_137,c1cnc2nnncc2c1,-449.4535,aryne_160,c1cnc2nnncc2c#1,-448.12,106.5348
arene_138,O=c1cc2ccc(=O)sc2c[nH]1,-910.5285,aryne_161,O=c1cc2c#cc(=O)sc2c[nH]1,-909.2197,91.0353
arene_139,O=c1[nH]c(=O)c2ncccc2o1,-603.6823,aryne_162,O=c1[nH]c(=O)c2nc#ccc2o1,-602.3419,110.8646
arene_139,O=c1[nH]c(=O)c2ncccc2o1,-603.6823,aryne_163,O=c1[nH]c(=O)c2ncc#cc2o1,-602.3486,106.6603
arene_140,O=c1ccc2[nH]nn[nH]c=2c1=O,-599.6914,aryne_164,O=c1c#cc2[nH]nn[nH]c=2c1=O,-598.3715,98.0007
arene_141,O=c1c(=O)c(=O)n2c(=O)ccn2c1=O,-752.6569,aryne_165,O=c1c(=O)c(=O)n2c(=O)c#cn2c1=O,-751.2645,143.4951
arene_142,O=c1[nH]ccc2nnnn12,-502.6018,aryne_166,O=c1[nH]c#cc2nnnn12,-501.2473,119.7125
arene_143,O=c1[nH]c(=O)n2c(=O)ccnc2o1,-694.8549,aryne_167,O=c1[nH]c(=O)n2c(=O)c#cnc2o1,-693.5208,106.9113
arene_144,O=c1nnc2sc(=O)ccc2o1,-962.3509,aryne_168,O=c1nnc2sc(=O)c#cc2o1,-961.0344,95.8671
arene_145,c1ccn2cnnc2c1,-395.4148,aryne_169,c1ccn2cnnc2c#1,-394.0817,106.2838
arene_145,c1ccn2cnnc2c1,-395.4148,aryne_170,c1ccc2nncn2c#1,-394.0658,116.2612
arene_146,O=c1ccc2ccccc2o1,-496.4571,aryne_171,O=c1c#cc2ccccc2o1,-495.1307,102.0795
arene_146,O=c1ccc2ccccc2o1,-496.4571,aryne_172,O=c1ccc2c#cccc2o1,-495.1228,107.0368
arene_146,O=c1ccc2ccccc2o1,-496.4571,aryne_173,O=c1ccc2cc#ccc2o1,-495.1222,107.4133
arene_146,O=c1ccc2ccccc2o1,-496.4571,aryne_174,O=c1ccc2ccc#cc2o1,-495.1246,105.9073
arene_147,O=c1sccc2ncncc12,-851.4081,aryne_175,O=c1sc#cc2ncncc12,-850.091,96.2436
arene_148,c1cc2cscc2s1,-1026.8589,aryne_176,c1sc2cscc2c#1,-1025.4982,123.603
arene_149,O=c1cc2c(=O)occn2c(=O)[nH]1,-678.8172,aryne_177,O=c1cc2c(=O)oc#cn2c(=O)[nH]1,-677.4422,132.5764
arene_150,O=c1ocnc2nnccc12,-544.4867,aryne_178,O=c1ocnc2nnc#cc12,-543.1407,114.3787
arene_151,O=c1[nH]c2ccccc2c(=O)s1,-910.5649,aryne_179,O=c1[nH]c2c#cccc2c(=O)s1,-909.2339,104.966
arene_151,O=c1[nH]c2ccccc2c(=O)s1,-910.5649,aryne_180,O=c1[nH]c2cc#ccc2c(=O)s1,-909.2284,108.4173
arene_151,O=c1[nH]c2ccccc2c(=O)s1,-910.5649,aryne_181,O=c1[nH]c2ccc#cc2c(=O)s1,-909.2263,109.7351
arene_152,O=c1cnn2ccsn12,-791.2068,aryne_182,O=c1cnn2c#csn12,-789.8496,121.4068
arene_153,O=c1ccc(=O)c2c(=O)c(=O)[nH]c(=O)c1=2,-774.7289,aryne_183,O=c1c#cc(=O)c2c(=O)c(=O)[nH]c(=O)c1=2,-773.4103,97.1849
arene_154,O=c1ccn2cnc(=O)n2o1,-581.4999,aryne_184,O=c1c#cn2cnc(=O)n2o1,-580.1483,117.8927
arene_156,O=c1ccn2c(=O)scnc2n1,-942.5677,aryne_186,O=c1c#cn2c(=O)scnc2n1,-941.2295,109.4841
arene_158,O=c1ncn2sccc2n1,-829.3422,aryne_188,O=c1ncn2sc#cc2n1,-827.9787,125.3601
arene_159,O=c1ccn2nnon12,-484.2098,aryne_189,O=c1c#cn2nnon12,-482.8348,132.5764
arene_161,O=c1nc2ccoc(=O)n2c(=O)s1,-1037.5751,aryne_191,O=c1nc2c#coc(=O)n2c(=O)s1,-1036.2172,121.846
arene_162,O=c1scc2c(=O)ccon2c1=O,-1021.4469,aryne_192,O=c1scc2c(=O)c#con2c1=O,-1020.1038,112.5589
arene_163,O=c1cc2occc(=O)c2cs1,-930.3495,aryne_193,O=c1cc2oc#cc(=O)c2cs1,-929.0064,112.5589
arene_164,O=c1sc(=O)n2cc[nH]n2c1=O,-979.5631,aryne_194,O=c1sc(=O)n2c#c[nH]n2c1=O,-978.2207,112.1196
arene_165,c1ccc2nncnc2c1,-433.4664,aryne_195,c1cc2ncnnc2cc#1,-432.1324,106.8485
arene_165,c1ccc2nncnc2c1,-433.4664,aryne_196,c1ccc2nncnc2c#1,-432.1354,104.966
arene_165,c1ccc2nncnc2c1,-433.4664,aryne_197,c1ccc2ncnnc2c#1,-432.1334,106.221
arene_166,O=c1[nH]nc2sccn2c1=O,-904.4971,aryne_198,O=c1[nH]nc2sc#cn2c1=O,-903.1168,135.9022
arene_167,O=c1ccc(=O)n2c(=O)cnsn12,-1017.6391,aryne_199,O=c1c#cc(=O)n2c(=O)cnsn12,-1016.3145,100.95
arene_168,O=c1ccc(=O)n2ncocc1-2,-603.5692,aryne_200,O=c1c#cc(=O)n2ncocc1-2,-602.2501,97.4987
arene_169,O=c1ccn2c(=O)c(=O)nc1-2,-564.3325,aryne_201,O=c1c#cn2c(=O)c(=O)nc1-2,-562.9572,132.7647
arene_170,c1csn2cc[nH]n2[nH]1,-772.4884,aryne_203,c1[nH]n2[nH]ccsn2c#1,-771.1592,103.8365
arene_171,O=c1ccnc2ncon12,-506.4035,aryne_204,O=c1c#cnc2ncon12,-505.0731,104.5895
arene_172,O=c1ncnc2occn12,-506.4609,aryne_205,O=c1ncnc2oc#cn12,-505.0256,170.4152
arene_173,O=c1ccc2nc(=O)occ2[nH]1,-603.6369,aryne_206,O=c1c#cc2nc(=O)occ2[nH]1,-602.3101,102.3305
arene_174,c1csn2nnnnn2[nH]1,-858.5073,aryne_207,c1[nH]n2nnnnn2sc#1,-857.1929,94.5494
arene_175,O=c1ccsc2ncnnc12,-867.3722,aryne_208,O=c1c#csc2ncnnc12,-866.0628,91.4118
arene_176,c1cn2sccsc-2n[nH]1,-1153.3822,aryne_209,c1[nH]nc2sccsn-2c#1,-1152.0419,110.8019
arene_176,c1cn2sccsc-2n[nH]1,-1153.3822,aryne_210,c1sc2n[nH]ccn-2sc#1,-1152.074,90.6588
arene_178,O=c1ccn2cccnc2c1,-492.5978,aryne_212,O=c1c#cn2cccnc2c1,-491.2675,104.5268
arene_178,O=c1ccn2cccnc2c1,-492.5978,aryne_213,O=c1ccn2c#ccnc2c1,-491.2518,114.3787
arene_179,O=c1ccsc2nsnc12,-1172.0992,aryne_214,O=c1c#csc2nsnc12,-1170.79,91.2863
arene_180,O=c1nnn2c(=O)occn12,-597.5379,aryne_215,O=c1nnn2c(=O)oc#cn12,-596.1547,137.722
arene_181,O=c1ccc2[nH]cnc(=O)c2o1,-603.635,aryne_216,O=c1c#cc2[nH]cnc(=O)c2o1,-602.3066,103.3345
arene_182,O=c1cc2c(=O)sccn2nn1,-942.4908,aryne_217,O=c1cc2c(=O)sc#cn2nn1,-941.1526,109.4841
arene_183,O=c1nnc2ccoc(=O)c2s1,-962.354,aryne_218,O=c1nnc2c#coc(=O)c2s1,-960.9951,122.4735
arene_184,O=c1ccn2ncncc2n1,-524.6274,aryne_219,O=c1c#cn2ncncc2n1,-523.2917,107.9153
arene_185,O=c1[nH]ncc2nccn12,-486.6125,aryne_220,O=c1[nH]ncc2nc#cn12,-485.2031,154.1627
arene_187,O=c1sn2cc[nH]nc-2c1=O,-904.4139,aryne_222,O=c1sn2c#c[nH]nc-2c1=O,-903.0748,110.0488
arene_188,O=c1ccc2ncc(=O)c1=2,-473.1075,aryne_223,O=c1c#cc2ncc(=O)c1=2,-471.7417,126.8033
arene_189,c1cnc2ccoc2c1,-399.2538,aryne_224,c1cc2occc2nc#1,-397.9169,108.6683
arene_189,c1cnc2ccoc2c1,-399.2538,aryne_225,c1cnc2ccoc2c#1,-397.9237,104.4013
arene_189,c1cnc2ccoc2c1,-399.2538,aryne_226,c1oc2cccnc2c#1,-397.8496,150.8997
arene_190,c1cc2ncnnc2cn1,-449.4816,aryne_227,c1ncc2nncnc2c#1,-448.1462,107.7271
arene_191,O=c1ccsn2c(=O)cncc12,-926.5106,aryne_228,O=c1c#csn2c(=O)cncc12,-925.2024,90.6588
arene_192,O=c1oc2occsc=2c(=O)c1=O,-1041.3223,aryne_229,O=c1oc2oc#csc=2c(=O)c1=O,-1039.9772,113.8139
arene_193,O=c1ncnc2sccn12,-829.3828,aryne_230,O=c1ncnc2sc#cn12,-827.9994,137.8475
arene_194,O=c1cnc2ccnnc2s1,-867.3771,aryne_231,O=c1cnc2c#cnnc2s1,-866.0345,112.2451
arene_195,O=c1cc[nH]c2cccn12,-454.5679,aryne_232,O=c1c#c[nH]c2cccn12,-453.2254,112.1824
arene_195,O=c1cc[nH]c2cccn12,-454.5679,aryne_233,O=c1cc[nH]c2cc#cn12,-453.1697,147.1346
arene_196,O=c1sc2ccsc2sc1=O,-1573.9842,aryne_234,O=c1sc2c#csc2sc1=O,-1572.6169,127.7446
