arene_ID,arene_smiles
arene_289,O=c1ccc2scnc(=O)c2[nH]1
arene_290,c1cc2cnon2c1
arene_291,O=c1ccsc2ncnc(=O)n12
arene_292,O=c1ccc(=O)c2occoc1=2
arene_293,O=c1occn2c(=O)[nH]nc12
arene_294,O=c1[nH]cnn2sccon12
arene_295,c1nn2sccsc-2ns1
arene_296,O=c1ccoc2[nH]nnc(=O)c12
arene_297,O=c1ccoc2onnc(=O)c12
arene_298,c1cn2ocnsn2nn1
arene_299,O=c1[nH]cc2ccccn12
arene_300,c1cc2nnnn2s1
arene_301,O=c1scnn2c(=O)cccc12
arene_302,O=c1ccc(=O)c2c(=O)cnc1=2
arene_303,O=c1nc2ncccn2c(=O)s1
arene_304,O=c1ccn2ncnc2o1
arene_305,O=c1ncn2occon2[nH]1
arene_306,O=c1ccc2c(=O)snnc2[nH]1
arene_307,O=c1ccc2nncc(=O)n2s1
arene_308,O=c1oc2ccsc2o1
arene_309,c1csn2snnn2[nH]1
arene_310,O=c1sc2nccnc2sc1=O
arene_311,O=c1ccn2cnscc1-2
arene_312,c1csn2nnsnc-2[nH]1
arene_313,O=c1nc2cnccn2c(=O)o1
arene_314,c1cn2snnsn2[nH]1
arene_315,O=c1cc[nH]n2scnon12
arene_316,O=c1cnsn2c(=O)cccc12
arene_317,O=c1cc[nH]c2ncsc12
arene_318,O=c1sccc2onnc12
arene_319,c1cnc2nonc2n1
arene_320,O=c1[nH]ccc2[nH]ccc12
arene_321,c1cc2[nH]cnc2cn1
arene_322,O=c1cc[nH]n2c(=O)nccc12
arene_323,c1csn2nnsnc-2o1
arene_324,O=c1ccc2[nH]nnsc1=2
arene_325,O=c1ccon2nncc12
arene_326,O=c1oc2cccnc2s1
arene_327,O=c1[nH]n2cccc2c(=O)o1
arene_328,O=c1ccc2nnoc2[nH]1
arene_329,O=c1[nH]c2cc[nH]c(=O)c2s1
arene_330,O=c1ccn2sccn12
arene_331,O=c1sncc2cnccc12
arene_332,c1cn2scnon2o1
arene_333,O=c1nccc2cn[nH]c(=O)n12
arene_334,O=c1ccsn2occsn12
arene_335,c1cc2cc[nH]n2c1
arene_336,O=c1ccon2c(=O)snc12
arene_337,O=c1nnon2[nH]ccsn12
arene_338,O=c1[nH]c(=O)n2sccc(=O)n2c1=O
arene_339,O=c1oc2[nH]ccc2c(=O)s1
arene_340,O=c1nnc2cccc(=O)n2s1
arene_341,O=c1ccc2sc(=O)c(=O)sc2[nH]1
arene_342,O=c1ncn2ccocc1-2
arene_343,O=c1ccoc2oncc12
arene_344,c1cn2[nH]ccon2cn1
arene_345,O=c1ccn2onnon2[nH]1
arene_346,O=c1nnc2ncccc2s1
arene_347,O=c1onnc2occc12
arene_348,O=c1sc(=O)n2ncccn12
arene_349,O=c1ccc2ncncc2o1
