arene_id,arene_smiles,aryne_id,aryne_smiles
arene_4762,O=c1ccn2ncnnn12,aryne_5469,O=c1c#cn2ncnnn12
arene_4763,c1cnc2[nH]nnc2c1,aryne_5470,c1cc2nn[nH]c2nc#1
arene_4763,c1cnc2[nH]nnc2c1,aryne_5471,c1cnc2[nH]nnc2c#1
arene_4764,O=c1ccc2n[nH]nnn-2c1=O,aryne_5472,O=c1c#cc2n[nH]nnn-2c1=O
arene_4765,O=c1nc2c(=O)sccc2c[nH]1,aryne_5473,O=c1nc2c(=O)sc#cc2c[nH]1
arene_4766,c1csn2ccsnc-2o1,aryne_5474,c1oc2nsccn-2sc#1
arene_4766,c1csn2ccsnc-2o1,aryne_5475,c1snc2occsn-2c#1
arene_4767,O=c1sc2n[nH]ccn-2c(=O)c1=O,aryne_5476,O=c1sc2n[nH]c#cn-2c(=O)c1=O
arene_4768,c1con2cn[nH]nc-2[nH]1,aryne_5477,c1[nH]c2n[nH]ncn-2oc#1
arene_4769,c1cnn2onnon2c1,aryne_5478,c1cnn2onnon2c#1
arene_4770,c1cn2sccsn2[nH]1,aryne_5479,c1[nH]n2sccsn2c#1
arene_4770,c1cn2sccsn2[nH]1,aryne_5480,c1sn2cc[nH]n2sc#1
arene_4771,O=c1cc[nH]n2c(=O)onc12,aryne_5481,O=c1c#c[nH]n2c(=O)onc12
arene_4772,c1cc2nn[nH]c2cn1,aryne_5482,c1ncc2[nH]nnc2c#1
arene_4773,c1cn2scnsc-2no1,aryne_5483,c1onc2sncsn-2c#1
arene_4774,O=c1sccc2cscc12,aryne_5484,O=c1sc#cc2cscc12
arene_4775,c1cn2oncon2cn1,aryne_5485,c1ncn2ocnon2c#1
arene_4776,c1cnc2nccnc2c1,aryne_5486,c1cc2nccnc2nc#1
arene_4776,c1cnc2nccnc2c1,aryne_5487,c1cnc2nccnc2c#1
arene_4776,c1cnc2nccnc2c1,aryne_5488,c1nc2cccnc2nc#1
arene_4777,O=c1cccc2cncnn12,aryne_5489,O=c1c#ccc2cncnn12
arene_4778,O=c1cc2c(=O)ccoc2ns1,aryne_5490,O=c1cc2c(=O)c#coc2ns1
arene_4779,c1cn2onn[nH]c-2ns1,aryne_5491,c1snc2[nH]nnon-2c#1
arene_4780,O=c1ocnn2occsn12,aryne_5492,O=c1ocnn2oc#csn12
arene_4781,c1coc2sncsc=2o1,aryne_5493,c1oc2scnsc=2oc#1
arene_4782,O=c1scnn2[nH]cc[nH]n12,aryne_5494,O=c1scnn2[nH]c#c[nH]n12
arene_4783,O=c1ccc2[nH]ccoc1=2,aryne_5495,O=c1c#cc2[nH]ccoc1=2
arene_4783,O=c1ccc2[nH]ccoc1=2,aryne_5496,O=c1ccc2[nH]c#coc1=2
arene_4784,O=c1on2[nH]ccsn2c(=O)s1,aryne_5497,O=c1on2[nH]c#csn2c(=O)s1
arene_4785,O=c1ccn2c(=O)ccn2o1,aryne_5498,O=c1c#cn2c(=O)ccn2o1
arene_4785,O=c1ccn2c(=O)ccn2o1,aryne_5499,O=c1ccn2c(=O)c#cn2o1
arene_4786,O=c1ccn2sc(=O)sc2n1,aryne_5500,O=c1c#cn2sc(=O)sc2n1
arene_4787,O=c1nnsn2c(=O)ccn12,aryne_5501,O=c1nnsn2c(=O)c#cn12
arene_4788,c1csn2cnonc-2[nH]1,aryne_5502,c1[nH]c2noncn-2sc#1
arene_4789,c1coc2snc[nH]c=2[nH]1,aryne_5503,c1[nH]c2[nH]cnsc=2oc#1
arene_4790,c1nn2[nH]ccsc-2n[nH]1,aryne_5504,c1[nH]n2nc[nH]nc-2sc#1
arene_4791,O=c1ccn2oncon2s1,aryne_5505,O=c1c#cn2oncon2s1
arene_4792,O=c1[nH]c(=O)c2c(=O)ccoc2[nH]1,aryne_5506,O=c1[nH]c(=O)c2c(=O)c#coc2[nH]1
arene_4793,O=c1ccc2c(=O)c(=O)c(=O)[nH]c=2c1=O,aryne_5507,O=c1c#cc2c(=O)c(=O)c(=O)[nH]c=2c1=O
arene_4794,O=c1ccn2[nH]cc[nH]n2s1,aryne_5508,O=c1c#cn2[nH]cc[nH]n2s1
arene_4794,O=c1ccn2[nH]cc[nH]n2s1,aryne_5509,O=c1ccn2[nH]c#c[nH]n2s1
arene_4795,O=c1cc2occc2no1,aryne_5510,O=c1cc2oc#cc2no1
arene_4796,O=c1[nH]cc2nnccn12,aryne_5511,O=c1[nH]cc2nnc#cn12
arene_4797,O=c1[nH]n2occsn2[nH]1,aryne_5512,O=c1[nH]n2oc#csn2[nH]1
arene_4798,O=c1ncc(=O)n2c(=O)ccsn12,aryne_5513,O=c1ncc(=O)n2c(=O)c#csn12
arene_4799,O=c1oc(=O)n2sccn2c1=O,aryne_5514,O=c1oc(=O)n2sc#cn2c1=O
arene_4800,O=c1[nH]c2ccncc2[nH]1,aryne_5515,O=c1[nH]c2c#cncc2[nH]1
arene_4801,O=c1ccc2c(=O)c(=O)[nH]c(=O)c1=2,aryne_5516,O=c1c#cc2c(=O)c(=O)[nH]c(=O)c1=2
arene_4802,O=c1ccn2c(=O)onnc2c1,aryne_5517,O=c1c#cn2c(=O)onnc2c1
arene_4803,O=c1ccon2sccon12,aryne_5518,O=c1c#con2sccon12
arene_4803,O=c1ccon2sccon12,aryne_5519,O=c1ccon2sc#con12
arene_4804,O=c1ncc(=O)n2occn12,aryne_5520,O=c1ncc(=O)n2oc#cn12
arene_4805,O=c1[nH]ncc2[nH]ccc12,aryne_5521,O=c1[nH]ncc2[nH]c#cc12
arene_4806,c1cn2scnon2cn1,aryne_5522,c1ncn2oncsn2c#1
arene_4807,O=c1ccoc2nnncc12,aryne_5523,O=c1c#coc2nnncc12
arene_4808,O=c1cccc2[nH]nnc(=O)n12,aryne_5524,O=c1c#ccc2[nH]nnc(=O)n12
arene_4809,O=c1sc(=O)c2cc[nH]c(=O)c2s1,aryne_5525,O=c1sc(=O)c2c#c[nH]c(=O)c2s1
arene_4810,O=c1snc2occn12,aryne_5526,O=c1snc2oc#cn12
arene_4811,O=c1[nH]c2ccnnc2[nH]1,aryne_5527,O=c1[nH]c2c#cnnc2[nH]1
arene_4812,O=c1cc2cc[nH]n2c(=O)s1,aryne_5528,O=c1cc2c#c[nH]n2c(=O)s1
arene_4813,c1cc2ccsc2cn1,aryne_5529,c1ncc2sccc2c#1
arene_4813,c1cc2ccsc2cn1,aryne_5530,c1sc2cnccc2c#1
arene_4814,c1cn2[nH]cc[nH]n2nn1,aryne_5531,c1nnn2[nH]cc[nH]n2c#1
arene_4814,c1cn2[nH]cc[nH]n2nn1,aryne_5532,c1[nH]n2ccnnn2[nH]c#1
arene_4815,O=c1ccn2nnsc(=O)c2n1,aryne_5533,O=c1c#cn2nnsc(=O)c2n1
arene_4816,O=c1ccsc2ccnn12,aryne_5534,O=c1c#csc2ccnn12
arene_4817,O=c1nc2[nH]ccon-2c1=O,aryne_5535,O=c1nc2[nH]c#con-2c1=O
arene_4818,O=c1ncsn2[nH]ccsn12,aryne_5536,O=c1ncsn2[nH]c#csn12
