bad_hetero_ID,no_arene_smiles
no_arene_165,O=c1ncc2n[nH]c(=O)c(=O)n2o1
no_arene_166,c1nc2nnon2n1
no_arene_167,O=c1cc2nnc(=O)c(=O)n-2c1=O
no_arene_168,O=c1sn2cnscc-2c(=O)c1=O
no_arene_169,O=c1[nH]c(=O)c2ncc(=O)sc2[nH]1
no_arene_170,O=c1sc(=O)n2cncnn2c1=O
no_arene_171,O=c1sn2[nH]cn[nH]n2sc1=O
no_arene_172,O=c1ncc2sc(=O)nnc2o1
no_arene_173,O=c1[nH]c(=O)c2[nH]cnc(=O)c2o1
no_arene_174,O=c1cc2c(=O)sncn2c(=O)s1
no_arene_175,O=c1oc(=O)n2nc[nH]c(=O)n2c1=O
no_arene_176,O=c1cc2sc(=O)c(=O)sc2ns1
no_arene_177,c1nn2ocnsc-2n[nH]1
no_arene_178,O=c1ncc2c[nH]c(=O)c(=O)n2[nH]1
no_arene_179,O=c1sc(=O)n2oncn2c1=O
no_arene_180,O=c1[nH]c(=O)c2sc(=O)cnc2[nH]1
no_arene_181,O=c1ncn2c(=O)ocnc2n1
no_arene_182,O=c1nnn2c(=O)[nH]cnc2n1
no_arene_183,O=c1cc2nc[nH]c(=O)c2no1
no_arene_184,O=c1oc(=O)c2nsc(=O)c(=O)n2s1
no_arene_185,O=c1[nH]n2c(=O)c(=O)occ2o1
no_arene_186,O=c1[nH]c2c[nH]c(=O)n2o1
no_arene_187,O=c1oncn2cnnc12
no_arene_188,O=c1oc(=O)c2c(=O)nnsc2s1
no_arene_189,O=c1cnc(=O)c1=O
no_arene_190,O=c1ncn2c(=O)scc2s1
no_arene_191,O=c1cc2ncc(=O)n-2c1=O
no_arene_192,O=c1snc2ncon12
no_arene_193,O=c1nnc2n[nH]c(=O)c(=O)n2[nH]1
no_arene_194,c1[nH]cc2snnc12
no_arene_195,O=c1nnc2c[nH]cnn1-2
no_arene_196,O=c1on2c(=O)c(=O)ncn2c(=O)s1
no_arene_197,O=c1sn2c(=O)nnsn2c(=O)c1=O
no_arene_198,O=c1c(=O)c(=O)c2n[nH]cc2c1=O
no_arene_199,O=c1sn2[nH]nn[nH]n2sc1=O
no_arene_200,O=c1nc2ncncc2ns1
no_arene_201,O=c1nn[nH]n2c(=O)ncn12
no_arene_202,O=c1[nH]c(=O)n2onnsn2[nH]1
no_arene_203,O=c1nnc2[nH]ncc2[nH]1
no_arene_204,O=c1ncsc2cnoc12
no_arene_205,O=c1scc2ncncn2c1=O
no_arene_206,O=c1ncc2sc(=O)[nH]c(=O)c2[nH]1
no_arene_207,c1n[nH]n2cnscc-2s1
no_arene_208,O=c1[nH]c2c[nH]ncn-2c(=O)c1=O
no_arene_209,O=c1on2c(=O)nnnc2c(=O)s1
no_arene_210,O=c1cc2c(=O)nnoc2co1
no_arene_211,O=c1nn[nH]c2cn[nH]c12
no_arene_212,O=c1[nH]c(=O)c2oncc2[nH]1
no_arene_213,O=c1on2nnnc2c(=O)s1
no_arene_214,O=c1cnc2c(=O)scnc2s1
no_arene_215,O=c1nnon2c(=O)nncc12
no_arene_216,O=c1cc2c(=O)cn[nH]n2cn1
no_arene_217,O=c1oc2sc(=O)oc(=O)c2c(=O)s1
no_arene_218,O=c1oc2scnc(=O)c2oc1=O
