arene_ID,arene_energy
arene_560,-540.6233
arene_561,-490.4669
arene_561,-490.4669
arene_562,-544.4426
arene_563,-358.983
arene_564,-904.5437
arene_565,-523.4044
arene_566,-942.542
arene_567,
arene_568,-930.3599
arene_568,-930.3599
arene_569,-867.377
arene_570,-942.5647
arene_571,-678.7884
arene_572,-545.6189
arene_572,-545.6189
arene_573,-1206.4337
arene_574,
arene_575,-623.4506
arene_576,-603.6518
arene_577,-829.2983
arene_578,-485.3528
arene_579,-506.3525
arene_580,-412.9867
arene_581,-522.4246
arene_582,-1021.5461
arene_583,-1037.5791
arene_584,-1156.0865
arene_585,-605.2745
arene_586,-1156.0805
arene_587,-946.3328
arene_588,-830.4448
arene_589,
arene_590,-851.4059
arene_591,-635.6047
arene_592,-599.7326
arene_593,-587.5654
arene_593,-587.5654
arene_594,-427.4099
arene_595,-528.5077
arene_596,-791.2002
arene_597,-754.2002
arene_598,-946.3164
arene_599,-474.3657
arene_599,-474.3657
arene_600,-486.5847
arene_601,-599.7334
arene_602,
arene_603,-1205.1676
arene_604,-599.7546
arene_605,-845.3101
arene_606,-603.6124
arene_607,-512.4688
arene_607,-512.4688
arene_607,-512.4688
arene_608,-1246.0655
arene_609,-926.5289
arene_610,-508.6744
arene_611,
arene_612,-851.3768
arene_613,-539.3904
arene_614,-942.5717
arene_615,-603.6305
arene_616,-619.5823
arene_617,-502.5761
arene_618,-829.3282
arene_619,-587.671
arene_619,-587.671
arene_619,-587.671
arene_620,-583.7627
arene_621,-1359.3451
arene_622,-583.7611
arene_622,-583.7611
arene_623,-470.6064
arene_623,-470.6064
arene_624,-524.6905
arene_625,-508.6033
arene_626,-1269.2843
arene_627,-510.2507
arene_628,-379.3999
arene_628,-379.3999
arene_629,
arene_630,-415.293
arene_630,-415.293
arene_631,-789.6306
arene_632,-1137.8879
arene_633,-904.3967
arene_634,-528.4569
arene_635,-607.4209
arene_636,-619.6113
arene_637,-1131.2816
arene_638,
arene_639,-470.5858
arene_640,-1017.71
arene_641,-583.7754
arene_642,-486.5783
arene_643,-946.3593
arene_644,-924.2963
arene_645,-941.3127
arene_646,-603.5828
arene_647,-694.7267
arene_648,-946.3782
arene_649,-813.2742
arene_650,-561.6435
arene_651,-946.3868
arene_652,-512.4306
arene_652,-512.4306
arene_652,-512.4306
arene_653,-1587.2855
arene_654,-1092.7894
arene_655,
arene_656,-528.452
arene_656,-528.452
arene_657,-581.5613
arene_658,-603.6263
arene_659,-544.3873
arene_660,
arene_661,-1244.5574
arene_662,-599.7426
arene_663,-813.335
arene_663,-813.335
arene_664,-510.2675
arene_665,-599.7533
arene_666,-565.4795
arene_667,-603.6055
arene_668,-830.406
arene_669,-1033.6161
arene_670,
arene_671,-958.5164
arene_672,-598.5899
arene_673,
arene_674,-448.5333
arene_675,-833.1791
arene_676,-999.3624
arene_677,-1156.0946
arene_678,-942.563
arene_679,
arene_680,
arene_681,-656.6923
arene_682,-813.3417
arene_683,-587.6043
arene_684,-1260.5175
arene_685,-603.5417
arene_685,-603.5417
arene_686,-1189.1741
arene_687,-942.4978
arene_688,-470.595
arene_689,-678.6888
arene_690,-639.4049
arene_691,-1244.5355
arene_692,-926.5613
arene_693,-1033.5764
arene_694,-1016.5656
arene_695,-926.565
arene_696,-845.3331
arene_697,-543.3794
arene_698,-597.4677
arene_699,-674.872
arene_700,-1231.2739
arene_701,-675.0243
arene_702,-599.6997
arene_703,-490.4385
arene_704,-1037.4585
arene_705,
arene_706,-581.5041
arene_707,-829.3521
arene_708,-506.4368
arene_709,-1041.3971
arene_710,
arene_711,-829.3341
arene_712,-619.5807
arene_713,
arene_713,
arene_714,-578.7661
arene_715,-1156.1
arene_716,-830.458
arene_717,-829.2585
arene_718,
arene_719,-470.6141
arene_720,-1364.3006
arene_721,-908.3568
arene_722,-506.4268
arene_723,-587.5925
arene_723,-587.5925
arene_724,-565.524
arene_725,-490.3849
arene_726,-1021.4752
arene_727,-921.5151
arene_728,-962.3166
arene_729,-694.7805
arene_730,-1435.5229
arene_731,-470.5365
arene_731,-470.5365
arene_732,
arene_733,-926.5542
arene_734,
arene_735,
arene_736,-599.7556
arene_737,-908.2758
arene_738,
arene_739,-904.4329
arene_740,
arene_741,-395.4135
arene_741,-395.4135
arene_741,-395.4135
arene_742,-830.4731
arene_743,
arene_744,-867.3562
arene_745,-415.2878
arene_745,-415.2878
arene_746,-904.5018
arene_747,-716.1404
arene_748,
arene_749,-490.3887
arene_750,-921.5341
arene_751,-754.1749
arene_752,
arene_753,-849.1943
arene_754,-599.7412
arene_755,-635.6009
arene_756,-524.6192
arene_757,
arene_758,
arene_759,-1017.7011
arene_760,-545.6497
arene_761,-599.8442
arene_762,-656.6937
arene_763,-1017.6082
arene_764,-958.4858
arene_765,-833.1774
arene_766,-926.5735
arene_766,-926.5735
arene_767,-700.0891
arene_768,-698.6498
arene_769,-1231.2486
arene_770,
arene_771,-474.4123
arene_771,-474.4123
arene_772,-658.9486
arene_773,-937.5057
arene_774,-431.2307
arene_775,
arene_776,-1112.5764
arene_777,-813.3281
arene_778,-545.7363
arene_779,-503.6573
arene_780,-395.4548
arene_780,-395.4548
arene_781,-1001.6672
arene_782,-565.5521
arene_783,-1112.5826
arene_784,-1247.2478
arene_785,-490.4395
arene_786,-490.3479
arene_787,-615.7835
arene_788,-661.5219
arene_789,-1017.7469
arene_790,-829.3066
arene_791,-1172.0824
arene_792,-1017.7321
arene_793,-904.4551
arene_794,-1285.2443
arene_795,
arene_796,-926.567
arene_797,-674.8491
arene_798,-656.6328
arene_799,-564.3407
arene_800,-506.453
arene_801,-506.401
arene_802,-1269.274
arene_803,-1017.6494
arene_804,-1001.7153
arene_805,-722.1797
arene_805,-722.1797
arene_806,-583.8089
arene_807,-698.6766
arene_808,-924.3793
arene_809,-942.5314
arene_810,
arene_811,-427.4267
arene_812,
arene_813,-618.3972
arene_814,-851.3985
arene_815,-846.4741
arene_816,-615.7068
arene_817,-583.7883
arene_817,-583.7883
arene_818,-599.7032
arene_819,-829.34
arene_820,-492.6491
arene_820,-492.6491
arene_821,-703.9275
arene_822,-599.7671
arene_823,-942.5373
arene_824,-565.5418
arene_825,-623.4663
arene_826,-904.4521
arene_827,-937.5498
arene_828,-506.3808
arene_829,-583.7936
arene_830,
arene_831,-623.4821
arene_832,-508.6067
arene_833,-417.4807
arene_833,-417.4807
arene_833,-417.4807
arene_834,-1231.2619
arene_835,-615.7957
arene_836,-924.3303
arene_837,-636.7471
arene_838,-942.5517
arene_839,-396.9804
arene_840,
arene_841,-1033.575
arene_842,-379.4347
arene_842,-379.4347
arene_842,-379.4347
arene_843,-795.124
arene_844,-586.3381
arene_845,-599.8395
arene_846,-492.6231
arene_846,-492.6231
arene_847,-1344.4818
arene_848,-1112.6631
arene_849,-528.4957
arene_849,-528.4957
arene_850,-615.7516
arene_851,
arene_851,
arene_852,-658.8369
arene_852,-658.8369
arene_853,-867.3653
arene_854,
arene_855,-561.7602
arene_856,-1115.272
arene_856,-1115.272
arene_857,-464.4243
arene_858,-694.773
arene_859,-1017.7517
arene_860,-545.6425
arene_860,-545.6425
arene_861,
arene_862,-829.3067
arene_863,-700.099
arene_864,-814.953
arene_865,-886.163
arene_866,
arene_867,-886.1849
arene_868,-414.3537
arene_869,-603.5914
arene_870,-908.3508
arene_871,-1001.702
arene_872,-829.2809
arene_873,-694.6617
arene_874,-790.7218
arene_875,-506.4158
arene_876,-587.6306
arene_877,-507.5262
arene_878,-432.5292
arene_879,-470.5824
arene_880,-979.6049
arene_881,-849.2015
arene_882,-396.9817
arene_883,-603.589
arene_884,-507.446
arene_884,-507.446
arene_885,-449.4851
arene_886,-813.311
arene_886,-813.311
arene_887,-937.5213
arene_888,-583.7453
arene_889,
arene_890,-958.5333
arene_891,-544.4781
arene_892,-811.0935
arene_893,-813.3151
arene_893,-813.3151
arene_894,-1156.0948
arene_895,-619.6341
arene_896,-797.3364
arene_896,-797.3364
arene_897,-583.8478
arene_898,
arene_899,-1247.2692
arene_900,
arene_901,-486.5618
arene_902,-674.883
arene_903,-506.4382
arene_904,-1001.7102
arene_905,-924.331
arene_906,-826.661
arene_907,-1156.0292
arene_908,-506.4367
arene_909,-506.4095
arene_910,-1001.6084
arene_910,-1001.6084
arene_911,-1140.1032
arene_911,-1140.1032
arene_912,-1001.6935
arene_913,-886.1753
arene_914,-904.4695
arene_915,-888.5481
arene_916,-928.1446
arene_917,-1021.5226
arene_918,-904.4484
arene_919,
arene_920,-905.5926
arene_920,-905.5926
arene_921,-635.6524
arene_922,-926.5525
arene_923,-903.2916
arene_924,-454.577
arene_924,-454.577
arene_925,-623.407
arene_926,
arene_927,-694.6554
arene_928,-1153.3813
arene_929,
arene_930,-603.6554
arene_931,-397.0213
arene_932,-508.6683
arene_933,-486.5747
arene_934,-829.3297
arene_935,-481.4519
arene_936,-754.1917
arene_936,-754.1917
arene_937,
arene_938,-999.3797
arene_939,
arene_940,-476.6141
arene_940,-476.6141
arene_940,-476.6141
arene_940,-476.6141
arene_941,-538.9165
arene_941,-538.9165
arene_941,-538.9165
arene_941,-538.9165
arene_942,
arene_943,-999.3836
arene_944,-732.1166
arene_945,-603.5884
arene_946,-583.7182
arene_946,-583.7182
arene_947,-474.3242
arene_947,-474.3242
arene_948,-1001.7485
arene_949,-502.536
arene_950,-750.0125
arene_951,-508.6602
arene_952,-454.5441
arene_952,-454.5441
arene_953,-700.1096
arene_954,-528.5005
arene_955,-429.7051
arene_955,-429.7051
arene_956,-754.2033
arene_957,
arene_958,-926.5036
arene_959,-357.3698
arene_960,-851.4056
arene_960,-851.4056
arene_961,-1112.6783
arene_962,
arene_963,-490.3863
arene_964,-817.1709
arene_964,-817.1709
arene_965,-565.6006
arene_966,-615.6697
arene_967,-1285.2638
arene_968,-1004.26
arene_969,-830.4106
arene_969,-830.4106
arene_970,-1001.7056
arene_971,-826.541
arene_972,-603.5911
arene_973,-904.4848
arene_974,-833.1849
arene_975,-1360.4182
arene_976,-962.3581
arene_977,-829.2835
arene_978,-486.571
arene_979,-634.1564
arene_980,-486.5758
arene_981,-829.3671
arene_982,-920.4255
arene_983,-1169.4163
arene_984,-1687.1954
arene_985,-710.6579
arene_986,
arene_987,-583.8357
arene_988,-866.3437
arene_989,-1264.3947
arene_990,-540.6469
arene_991,-942.5538
arene_992,-813.3364
arene_993,-1021.4838
arene_994,
arene_995,-926.5317
arene_996,-585.4483
arene_997,-568.135
arene_998,-583.8137
arene_998,-583.8137
arene_999,-619.6434
arene_1000,-1244.4853
arene_1001,-544.4329
arene_1002,-574.9173
arene_1003,-942.5201
arene_1004,-559.2781
arene_1005,-508.6367
arene_1005,-508.6367
arene_1006,
arene_1007,-833.1628
arene_1008,-635.5447
arene_1009,-694.8536
arene_1010,-510.1968
arene_1011,-587.6127
arene_1011,-587.6127
arene_1012,-1322.3075
arene_1013,-490.392
arene_1014,-999.4269
arene_1015,-583.7363
arene_1016,-921.5678
arene_1017,
arene_1018,-962.3337
arene_1019,-656.6166
arene_1020,-502.5898
arene_1021,-842.5314
arene_1022,-449.4519
arene_1023,-678.8182
arene_1024,-776.9053
arene_1025,-411.4142
arene_1026,-1092.7688
arene_1027,-996.7543
arene_1028,-926.4951
arene_1029,-924.3702
arene_1030,-842.5698
arene_1031,-829.3548
arene_1032,-946.3212
arene_1033,-1344.4651
arene_1034,-567.7138
arene_1034,-567.7138
arene_1035,-698.6494
arene_1036,
arene_1037,-506.3517
arene_1038,-619.6629
arene_1039,-1169.3886
arene_1040,-850.2892
arene_1041,-833.183
arene_1042,-490.421
arene_1043,-1017.6557
arene_1044,-468.3078
arene_1045,
arene_1046,-1251.0836
arene_1047,-1156.0972
arene_1048,-826.5769
arene_1049,-797.3595
arene_1049,-797.3595
arene_1049,-797.3595
arene_1050,-698.6402
arene_1051,-996.7747
arene_1052,-1177.0599
arene_1052,-1177.0599
arene_1053,-810.626
arene_1054,-603.5836
arene_1055,
arene_1056,-543.3059
arene_1057,
arene_1058,-910.5372
arene_1059,-849.1016
arene_1060,-817.1645
arene_1060,-817.1645
arene_1061,-473.1317
arene_1062,-597.4483
arene_1063,-789.7064
arene_1064,-565.619
arene_1065,-942.578
arene_1066,
arene_1067,-834.2543
arene_1067,-834.2543
arene_1068,-377.1395
arene_1068,-377.1395
arene_1069,-835.3567
arene_1070,
arene_1071,-540.6348
arene_1072,-829.3307
arene_1073,-1528.1615
arene_1074,-471.6623
arene_1074,-471.6623
arene_1075,-510.291
arene_1076,-395.3826
arene_1076,-395.3826
arene_1077,-1037.5325
arene_1078,-524.5958
arene_1079,-678.7708
arene_1080,
arene_1081,
arene_1081,
arene_1082,-561.6469
arene_1083,-1496.1621
arene_1083,-1496.1621
arene_1084,-829.3421
arene_1085,-524.6351
arene_1086,-522.3966
arene_1087,-506.3507
arene_1088,-470.5538
arene_1089,-619.6254
arene_1090,-562.8143
arene_1090,-562.8143
arene_1091,-507.4872
arene_1092,-486.5947
arene_1093,-750.0259
arene_1094,
arene_1095,-570.3111
arene_1096,-813.3218
arene_1097,-503.6737
arene_1098,-750.0837
arene_1099,-926.4953
arene_1099,-926.4953
arene_1100,
